608,Setup and validation of shake-flask procedures for the determination of partition coefficients (log D) from low drug amounts,A. Andrés;M. Rosés;C. Ràfols;E. Bosch;J. Huerta,European Journal of Pharmaceutical Sciences,"Several procedures based on the shake-flask method and designed to require a minimum amount of drug for octanol–water partition coefficient determination have been established and developed. The procedures have been validated by a 28 substance set with a lipophilicity range from −2.0 to 4.5 (log D7.4).The experimental partition is carried out using aqueous phases buffered with phosphate (pH 7.4) and n-octanol saturated with buffered water and the analysis is performed by liquid chromatography. In order to have accurate results, four procedures and eight different ratios between phase volumes are proposed. Each procedure has been designed and optimized (for partition ratios) for a specific range of drug lipophilicity (low, regular and high lipophilicity) and solubility (high and low aqueous solubility). The procedures have been developed to minimize the measurement in the octanolic phase.Experimental log D7.4 values obtained from different procedures and partition ratios show a standard deviation lower than 0.3 and there is a nice agreement when these values are compared with the reference literature ones.Several procedures based on the shake-flask method and designed to require a minimum amount of drug for octanol–water partition coefficient determination have been established and developed. The procedures have been validated by a 28 substance set with a lipophilicity range from −2.0 to 4.5 (log D7.4).The experimental partition is carried out using aqueous phases buffered with phosphate (pH 7.4) and n-octanol saturated with buffered water and the analysis is performed by liquid chromatography. In order to have accurate results, four procedures and eight different ratios between phase volumes are proposed. Each procedure has been designed and optimized (for partition ratios) for a specific range of drug lipophilicity (low, regular and high lipophilicity) and solubility (high and low aqueous solubility). The procedures have been developed to minimize the measurement in the octanolic phase.Experimental log D7.4 values obtained from different procedures and partition ratios show a standard deviation lower than 0.3 and there is a nice agreement when these values are compared with the reference literature ones.Download high-res image (139KB)Download full-size image"
609,Severe Salt-Losing 3β-Hydroxysteroid Dehydrogenase Deficiency: Treatment and Outcomes of HSD3B2 c.35G>A Homozygotes,A. Benkert;M. Young;D. Robinson;C. Hendrickson;P. Lee,Journal of Clinical Endocrinology and Metabolism,"3-β-hydroxysteroid dehydrogenase (HSD3B2) deficiency accounts for less than 5% of congenital adrenal hyperplasia worldwide, but is relatively common among the Old Order Amish of North America due to a HSD3B2 c.35G&gt;A founder mutation.We review clinical presentation, disease course, treatment, and outcomes of a genetically homogenous population of HSD3B2-deficient patients.This was a retrospective case series: anthropometric, biochemical, and clinical data from 16 (six male) affected subjects (age, 7.2 ± 6.4 y) were compared to reference data from 12 age-matched unaffected siblings.The setting was the Clinic for Special Children, a nonprofit rural community health center in Lancaster, Pennsylvania.The main outcome measures were growth, skeletal maturation, sexual development, blood pressure, glucocorticoid dose, pituitary-adrenal homeostasis, and long-term morbidity.Exogenous glucocorticoid requirement was dichotomous: a standard-dose group (n = 9) required 15.4 ± 4.9 mg/m2/d hydrocortisone equivalent, whereas a high-dose group required much larger and more variable doses (hydrocortisone equivalent, 37.8 ± 15.4 mg/m2/d) (P &lt; .0001). Despite glucocorticoid doses 2-fold higher than the standard-dose group, high-dose patients: 1) had ACTH, 17-hydroxypregnenolone, and dehydroepiandrosterone levels that were 10-fold, 20-fold, and 20-fold higher, respectively; 2) were exclusively affected by signs of sex steroid excess; and 3) tended to have more iatrogenic complications.Patients with HSD3B2 deficiency and 21-hydroxylase deficiency suffer similar morbid complications from under- and overtreatment, but HSD3B2 deficiency is associated with a distinctive pattern of sex steroid dysmetabolism. Disease- and treatment-related morbidities are almost exclusively observed among subjects who have a high exogenous glucocorticoid requirement."
610,Sex-specific impact of socio-economic factors on suicide risk: a population-based case–control study in Denmark,A. Andrés;S. Collings;P. Qin,European Journal of Public Health,"Background: Although many authors have investigated the impact of sex on the association between socio-economic status (SES) and suicide, a definite consensus has not yet emerged. Using Danish population registration data including 15 648 suicide deaths of individuals aged 18–65 year during 1981–97 and matched population controls, we investigate the associations of multiple SES factors with suicide risk and explore the sex-specific aspects of these associations. Methods: We use conditional logistic regression models to estimate the statistical relationship between SES, sex and suicide. Results: SES, proxied by low income, unskilled blue-collar work, non-specific wage work and unemployment, increases suicide risk more prominently for men than for women. Marital status has a comparable influence on suicide risk in both sexes; parenthood is protective against suicide, and the effect is larger for women. Living in a large city raises suicide risk for women but reduces it for men; residents with a foreign citizenship in Denmark have a lower risk of suicide compared with Danish citizens, but this protection is confined to male immigrants. Conclusions: Our results demonstrate that suicide risk is associated with a range of SES proxies but the strength and/or direction of the association can differ by sex. Risk assessement and, therefore, prevention approaches should take this into consideration."
611,Shale gas transmission and housing prices,A. Boslett,Resource and Energy Economics,"In this study, we exploit residential property sales data in New York to value the external environmental costs of the proposed Constitution Pipeline, a high-capacity transmission pipeline designed to transport hydraulically-fractured natural gas in Pennsylvania to large northeastern markets. Results from difference-in-differences models suggest post-announcement price declines of 9% (˜$12,000) for those properties located within three kilometers of the pipeline. These results are strongly robust to different specifications and subsets of the data, as well as falsification testing. Additionally, we find some evidence of attenuation in our treatment effect over time, which is indicative of either declining salience or expectations of the pipeline over time. Our results suggest that homebuyer expectations of the environmental externalities of natural gas pipeline construction and operations are large and negative."
612,Shişr 043 (IIIAB medium octahedrite): The first iron meteorite from the Oman desert,A. Al‐Kathiri;B. Hofmann;E. Gnos;O. Eugster;K. Welten;U. Krähenbühl,Meteoritics & Planetary Science,"— The iron meteorite Shişr 043 is a single mass of 8267 g found in the south Oman desert 42 km NE of the Shişr village. It is the first iron identified among the >1400 individual meteorites reported from Oman. The meteorite is a slightly elongated mass showing only minor rusting, a partially smooth and partially rough surface with octahedral cleavage, and a partially preserved metallic fusion crust typically 0.75 mm thick. The undeformed Widmanstätten pattern with a mean kamacite bandwidth of 1.0 ± 0.1 mm (n = 97) indicates structural classification as a medium octahedrite. From the bulk composition, Ni = 8.06 wt%, Ga = 18.8 ppm, Ge = 37.25 ppm, and Ir = 3.92 ppm, the meteorite is classified as IIIAB, the most common group of iron meteorites. The cosmic‐ray exposure (CRE) age based on 3He, 21Ne, 38Ar concentrations and 10Be‐21Ne, 26Al‐21Ne, and 36Cl‐36Ar ratios is 290 ± 20 Ma. This age falls within the range observed for type IIIAB iron meteorites, but does not coincide with the main cluster. The cosmogenic noble gas and radionuclide data indicate that Shişr 043 had a relatively small preatmospheric mass. The low degree of weathering is consistent with a young terrestrial age of <10,000 years based on the saturated 41Ca concentration. Shişr 043 is not paired with any of the other eight known iron meteorites from the Arabian Peninsula."
613,Shopping or Specialization? Venue Targeting among Nonprofits Engaged in Advocacy,A. Buffardi;R. Pekkanen;S. Smith,Policy Studies Journal,"Studies of venue shopping have typically analyzed the case of an individual advocacy group or issue campaign rather than comparing venue strategies across multiple groups. Moreover, this literature focuses on interest groups and advocacy coalitions whose principal mandate is to influence public policy. Using original data, we test theories of venue selection among nonprofit organizations that report engaging in policy processes but the majority of which do not self‐identify as an advocacy group. Our analyses explore the “where” of nonprofit advocacy across three different venue types: branch (executive, legislative), domain (bureaucracy, elected officials), and level of government (local, state, federal). Like interest groups, we find that nonprofits shop among both executive and legislative branches and among elected and bureaucratic domains; however, they tend to specialize in one level of government. Geographic scope and revenue source predicted venue targeting, but most other organizational characteristics including age, capacity, and structure did not."
614,Short-Term Impact of a Multimedia Communication Campaign on Children's Physical Activity Beliefs and Behavior,A. Bélanger-Gravel;N. Cutumisu;F. Lagarde;M. Laferté;L. Gauvin,Journal of Health Communication,"To examine the short-term impact of the WIXX multimedia communication campaign on children’s physical activity (PA) beliefs and behaviors, 3 repeated cross-sectional telephone surveys were conducted before, 9 months after, and 21 months after the launch of the campaign. A random-digit dialing procedure was used to recruit children ages 9 to 13 years. Children’s PA beliefs, behaviors, and recall of the WIXX ads were self-reported. Logistic regression models showed that girls exposed to the WIXX ads were more likely to believe that PA would help to make new friends (odds ratio [OR] = 1.4, 95% confidence interval [CI] [1.0, 1.9]) and that they can be active even if too busy (OR = 1.4, 95% CI [1.0, 1.8]) compared to girls not exposed. Boys exposed were more likely to believe that PA would help to spend time with friends (OR = 1.4, 95% CI [1.1, 1.9]). Boys (OR = 1.5, 95% CI [1.1, 2.0.]) and girls (OR = 1.4, 95% CI [1.1, 1.8]) exposed were more likely to report having tried new PAs. No significant impact of the campaign was observed on overall PA after we controlled for confounders. Recall of the WIXX ads was associated with a significant, albeit modest, impact on some PA beliefs and intermediate PA behaviors."
615,Shrub shading moderates the effects of weather on arthropod activity in arctic tundra,A. Asmus;H. Chmura;T. Høye;J. Krause;S. Sweet;J. Perez;N. Boelman;J. Wingfield;L. Gough,Ecological Entomology,"1. Rapid warming has facilitated an increase in deciduous shrub cover in arctic tundra. Because shrubs create a cooler microclimate during the growing season, shrub cover could modulate the effects of global warming on the phenology and activity of ectotherms, including arthropods. This possibility was explored here using two dominant arthropod groups (flies and wolf spiders) in Alaskan tundra. 2. We monitored arthropods with pitfall traps over five summers at four sites that differed in shrub abundance, and used generalised additive mixed models (GAMMs) to separate the two underlying components of pitfall trap catch: the seasonal trend in arthropod density and the effects of short‐term weather variation (air temperature, wind speed, rainfall, solar radiation) on arthropod activity. 3. We found that shrub cover significantly altered the seasonal trend in the abundance of flies by reducing early‐season pitfall catch, in line with observed later snowmelt in shrub‐dominated plots at these sites. 4. Additionally, shrub cover modulated the effects of many weather variables on arthropod activity: shrub cover shifted wolf spiders' temperature–activity relationship, dampened the positive effect of solar radiation on the activity of arthropods in total, and ameliorated the negative effect of wind on the activity of flies. 5. Thus, these results indicate that shrub encroachment will probably be accompanied by altered arthropod responses to warming and other key weather variables. Because the rate of key ecological processes – herbivory, decomposition, predation – are controlled by activity at the organismal level, these effects on arthropods will have long‐term ecosystem‐level consequences."
616,Silver Nanocrystals: Self-Organization and Collective Properties,A. Courty,Journal of Physical Chemistry C,"In this paper, the main parameters, which dictate the supracrystalline structure of silver nanocrystals self-assembled at the micrometer scale, are evidenced. They are the alkyl-chain length, the deposition temperature, the concentration of the colloidal solution and the nature of the substrate. By varying the deposition temperature (from 15° to 50 °C), from the same batch of nanocrystals (same size, same coating agent), dense (fcc and hcp) and loose (bcc) supracrystals or disordered arrangements (rcp) are produced. By tuning the nature of the substrate (HOPG or amorphous carbon) and its temperature, the final size of the supracrystals is controlled. Collective properties due to either nanocrystals ordering in 2D superlattices or in supracrystals (3D) are pointed out. These properties are either due to dipolar interactions with the appearance of coupled plasmon modes or to the attraction between nanocrystals, self-assembled via interdigitation of the alkylchains used as coating agents, which leads to coherent vibrations of nanocrystals in a supracrystal."
617,Silver complexes stabilized by large silanethiolate ligands – crystal structures and luminescence properties,A. Ciborska;Z. Hnatejko;K. Kazimierczuk;A. Mielcarek;A. Wiśniewska;A. Dołęga,Dalton Transactions,Bulky silanethiolate and disiladithiolate ligands were applied to synthesize one mononuclear and three trinuclear silver complexes including two cyclic “microclusters” and a linear tri-nuclear silanethiolate complex. All obtained compounds are characterized by X-ray diffraction and FT-IR. NMR and emission spectroscopies were used where possible. The first trinuclear anionic silver thiolate is structurally characterized. The influence of the different charge of cyclic silver complexes as well as the overall ligand environment on the structural properties is demonstrated. The impact of the different synthetic routes on the final structures of the obtained clusters – cyclic or linear – is discussed.
618,Simulation of the capabilities of an orbiter for monitoring the entry of interplanetary matter into the terrestrial atmosphere,A. Bouquet;D. Baratoux;J. Vaubaillon;M. Gritsevich;S. Bouley,Planetary and Space Science,"In comparison with existing ground-based camera networks for meteors monitoring, a space-based optical system would escape dependency on weather and atmospheric conditions and would offer a wide spatial coverage and an unrestricted and extinction-free spectral domain. The potential rates of meteor detections by such systems are evaluated in this paper as a function of observations parameters (optical system capabilities, orbital parameters) and considering a reasonable range of meteoroids properties (e.g., mass, velocity, composition) determining their luminosity. A numerical tool called SWARMS (Simulator for Wide Area Recording of Meteors from Space) has been developed. SWARMS is also intended to be used in an operational phase to facilitate the comparison of observations with up-do-date constraints on the flux and characteristics of the interplanetary matter entering our planet׳s atmosphere. The laws governing the conversion of a fraction of the meteor kinetic energy into radiation during atmospheric entry have been revisited and evaluated based on an analysis of previously published meteor trajectories. Rates of detection were simulated for two different systems: the SPOSH (Smart Panoramic Optical Sensor Head) camera optimized for the observation of transient luminous events, and the JEM-EUSO (Japanese Experiment Module-Extreme Universe Space Observatory) experiment on the ISS (International Space Station). We conclude that up to 6 events per hour in the case of SPOSH, and up to 0.67 events in the case of JEM-EUSO may be detected. The optimal orbit for achieving such rates of detections depends on the mass index of the meteoroid populations. The determination of this parameter appears therefore critical before an optimal orbiting system might be designed for meteors monitoring.We programmed a simulator to assess how many meteors a dedicated satellite could detect.We linked the properties of a meteoroid with the luminosity of the produced meteor.We obtained a detection rate up to 6 events/h for a satellite using an existing camera.We can show the variation of detection rate depending on mission parameters.In comparison with existing ground-based camera networks for meteors monitoring, a space-based optical system would escape dependency on weather and atmospheric conditions and would offer a wide spatial coverage and an unrestricted and extinction-free spectral domain. The potential rates of meteor detections by such systems are evaluated in this paper as a function of observations parameters (optical system capabilities, orbital parameters) and considering a reasonable range of meteoroids properties (e.g., mass, velocity, composition) determining their luminosity. A numerical tool called SWARMS (Simulator for Wide Area Recording of Meteors from Space) has been developed. SWARMS is also intended to be used in an operational phase to facilitate the comparison of observations with up-do-date constraints on the flux and characteristics of the interplanetary matter entering our planet׳s atmosphere. The laws governing the conversion of a fraction of the meteor kinetic energy into radiation during atmospheric entry have been revisited and evaluated based on an analysis of previously published meteor trajectories. Rates of detection were simulated for two different systems: the SPOSH (Smart Panoramic Optical Sensor Head) camera optimized for the observation of transient luminous events, and the JEM-EUSO (Japanese Experiment Module-Extreme Universe Space Observatory) experiment on the ISS (International Space Station). We conclude that up to 6 events per hour in the case of SPOSH, and up to 0.67 events in the case of JEM-EUSO may be detected. The optimal orbit for achieving such rates of detections depends on the mass index of the meteoroid populations. The determination of this parameter appears therefore critical before an optimal orbiting system might be designed for meteors monitoring."
619,Simultaneous Le Fort I Osteotomy and Computer-Guided Implant Placement,A. Benech;C. Mazzanti;F. Arcuri;M. Giarda;M. Brucoli,Journal of Craniofacial Surgery,"Background: Since 1977, osseointegrated implants have played a strong role in oral rehabilitation. Despite the large success of this technique for the edentulous maxilla and mandible with sufficient bone height, patients with atrophic jaws continue to be the challenging cases for an adequate reconstruction of aesthetics and functionality. Orthognathic surgical procedures have been developed to reposition the jaws and have been traditionally used in the dentate patient to correct a skeletal malocclusion; these procedures can be used on the edentulous patient to correct the discrepancies between the jaws followed by the placement of implants to rehabilitate the oral cavity. Recently, surgeons can use a computer-assisted software package that enables them to insert implants after a digital analysis of the residual alveolar and basal bone that makes for greater implant osseointegration. We describe a one-step oral rehabilitation with Le Fort I osteotomy and computer-guided implant placement to correct a posttraumatic deformity. Clinical Report: The first step of the definitive treatment, the implant placement, was planned with the aid of a computer-assisted surgery software package (NobelGuide; Nobel Biocare AB, Goteborg, Sweden). Ten computer-planned implants (Nobel Biocare AB) were inserted (6 on the maxillary arch and 2 on each posterior area of the mandible). Simultaneously, the patient underwent a Le Fort I osteotomy to correct the maxillary deficiency without any bone grafts. Discussion: The use of Le Fort I osteotomy as a preprosthetic procedure for the atrophic edentulous maxilla has been well accepted. This is a technically demanding procedure, and there are some described complications such as unfavorable fractures of the maxilla, oroantral fistulas, bone exposure, and low implant survival rates. However, in selected cases, this reconstructive method has the advantages over the other commonly used preprosthetic techniques of simultaneously allowing the placement of osseointegrated implants while correcting an unfavorable intermaxillary relationship and improving facial aesthetics. Computer-assisted surgery offers to the surgeons the possibility to visualize anatomic structures, evaluate implant position and inclination, insert accurately implants, prefabricate prosthesis, and avoid the morbidity of bone grafting procedures. Conclusions: One-step oral rehabilitation by Le Fort I and computer-guided implant placement can be used in selected patients. Despite the difficulty of this procedure, this approach enabled the authors to solve simultaneously a double problem: the malocclusion and the partially atrophic and edentulous jaws. According to the literature, this is the first case of a simultaneous Le Fort I osteotomy and computer-guided implant placement. The patient introduced had a posttraumatic deformity, but we think that this procedure could be extended in the future to manage other situations."
620,Simultaneous application of two laser-induced fluorescence approaches for film thickness measurements in annular gas-liquid flows,A. Cherdantsev;J. An;A. Charogiannis;C. Markides,International Journal of Multiphase Flow,"This paper is devoted to the simultaneous application of two spatiotemporally resolved optical techniques capable of liquid film thickness measurements, namely Planar Laser-Induced Fluorescence (PLIF) and Brightness-Based Laser-Induced Fluorescence (BBLIF), to co-current downward annular gas-liquid flows. A single laser sheet is used to excite the liquid film, which has been seeded with a fluorescent dye, along a longitudinal/vertical plane normal to the pipe wall. Two cameras, one for each technique, are placed at different angles to the plane of the laser sheet in order to recover, independently by the two techniques, the shape of the gas-liquid interface along this section. The effect of the angle between the laser sheet and the PLIF camera axis is also investigated. In film regions where the gas-liquid interface is smooth and flat, the conventional approach used for interpreting PLIF data is affected by total internal reflection of the fluorescent light at the free surface, or “mirror effect”, which leads to an overestimation of the film thickness that increases as the angle between the laser sheet and the camera axis is decreased. Nonetheless, local features such as light intensity maxima or minima are often located within the fluorescent signals that correctly identify the true interface, which in these conditions also coincides well with the BBLIF film-thickness measurement. When a correction for the mirror effect based on simple flat-film optical calculations is applied, this leads to PLIF results that correspond well to the true film thickness. Interestingly, it is further found that interfacial three-dimensionality, and in particular azimuthal/circumferential non-uniformity, can lead to underestimation of film thickness by PLIF that in some cases counteracts the overestimation due to the mirror effect. Smaller angles between the laser sheet and camera axis make PLIF less susceptible to this error. In regions where the film surface is rough, including on the surface of disturbance waves, the mirror effect is suppressed. The BBLIF measurement, on the other hand, is affected by loss of signal sensitivity or saturation in thick film regions, as well as distortions at complex or multiple interfaces in agitated flow regions with significant wave activity. Direct comparisons between PLIF and BBLIF measurement data confirm that local overestimations of the film thickness by the latter occur in film regions with higher interfacial curvature, especially at the front slopes of waves and around gas bubbles entrained in the liquid even in smooth films, while underestimations occur in regions with multiple interfaces and inside bubbles although it is often the case that features such as bubbles can be identified and corrected for in simple flows with smooth interfaces. Correction procedures are developed to compensate distortions caused by both methods that make these techniques more accurate for standalone employment. In highly complex, three-dimensional flows, the simultaneous application of both techniques is highly recommended to attain the most reliable information."
621,Simultaneous continuous measurement of non-commuting observables: quantum state correlations,A. Chantasri;J. Atalaya;S. Hacohen-Gourgy;L. Martin;I. Siddiqi;A. Jordan,ArXiv Physics,"We consider the temporal correlations of the quantum state of a qubit subject to simultaneous continuous measurement of two non-commuting qubit observables. Such qubit state correlators are defined for an ensemble of qubit trajectories, which has the same fixed initial state and can also be optionally constrained by a fixed final state. We develop a stochastic path integral description for the continuous quantum measurement and use it to calculate the considered correlators. Exact analytic results are possible in the case of ideal measurements of equal strength and are also shown to agree with solutions obtained using the Fokker-Planck equation. For a more general case with decoherence effects and inefficiency, we use a diagrammatic approach to find the correlators perturbatively in the quantum efficiency. We also calculate the state correlators for the quantum trajectories which are extracted from readout signals measured in a transmon qubit experiment, by means of the quantum Bayesian state update. We find an excellent agreement between the correlators based on the experimental data and those obtained from our analytical and numerical results."
622,Simultaneous enhancement of charge generation quantum yield and carrier transport in organic solar cells,A. Armin;P. Wolfer;P. Shaw;M. Hambsch;F. Maasoumi;M. Ullah;E. Gann;C. Mcneill;J. Li;Z. Shi;P. Burn;P. Meredith,Journal of Materials Chemistry C,"Bulk heterojunction (BHJ) organic solar cells and photodiodes require optimised active layer structures for both charge carrier photo-generation and extraction to occur efficiently. The most efficient polymer:fullerene devices comprising narrow optical gap donor polymers invariably have a high fullerene fraction. In such circumstances photo-generated carrier extraction is compromised, as charge transport is often unbalanced with electron transport in the fullerene dominating. In this current work we study the high efficiency blend system poly(2,5-{2-octyldodecyl}-3,6-diketopyrrolopyrrole-alt-5,5-{2′,5′-di[thien-2-yl]thieno[3,2-b]thiophene}) (DPP–DTT):phenyl-C71-butyric acid methyl ester (PC70BM). We show that by manipulating the packing of the (DPP–DTT) chains, large hole mobilities >0.02 cm2 V−1 s−1 can be obtained in a simple polymer-only diode. More importantly, when blended with PC70BM in a 1 : 3 ratio the hole mobility was found to increase to 0.2 cm2 V−1 s−1. This is the first case of a polymer:fullerene solar cell where the charge carrier transport is limited by the electron mobility of the fullerene rather than the hole mobility of the donor material. Photophysical measurements reveal that the charge generation quantum yield is also enhanced when the DPP–DTT chains are optimally packed. The simultaneous improvement of the charge transport properties and charge generation quantum yield delivers an order of magnitude increase in the power conversion efficiency."
623,Simultaneous inferences: new method of maximum combination,A. Andrés;M. Hernández,Statistical Papers,"The Scheffé method is used to carry out simultaneous inferences on many linear combinations of \(K\) parameters. Frequently these combinations arise from the need to explain the causes of significance of the homogeneity test for all the parameters. This paper proposes an alternative methodology based on the maximization of the contrast statistic in the coefficient of the combination. This new method, compatible with Scheffé’s method, in addition yields the statistic which should be used for the global test, as well as the combination of maximum significance. The method is illustrated in the cases of \(K\) means of normal distributions and \(K\) binomial proportions (independent samples). In the second case, the method allows a homogeneity test that is more powerful than Pearson’s classic chi-squared test to be obtained. The program which determines this may be obtained at http://www.ugr.es/local/bioest/Z_LINEAR_K.EXE."
624,Single-shot characterization of ultrashort light pulses,A. Brun;P. Georges;G. Saux;F. Salin,Journal of Physics D: Applied Physics,"In the subpicosecond time domain, the characterization and the control of ultrashort light pulses produced by means of femtosecond lasers are important problems. The low repetition rate of laser sources makes classical characterization methods, such as multishot autocorrelators, difficult to use. New different single-shot measurements of the temporal profile and of phase shifts introduced by nonlinear optical phenomena on femtosecond pulses are reported. These techniques are based on spatio-temporal and spectro-temporal transformations."
625,Single‐Crystalline La0.7Sr0.3MnO3 Nanowires by Polymer‐Template‐Directed Chemical Solution Synthesis,A. Carretero‐Genevrier;N. Mestres;T. Puig;A. Hassini;J. Oró;A. Pomar;F. Sandiumenge;X. Obradors;E. Ferain,Advanced Materials,A facile polymer‐template‐aided synthesis is adopted to prepare single crystalline La0.7Sr0.3MnO3 nanowires by chemical solution deposition. The La0.7Sr0.3MnO3 nanowires crystallize in a novel monoclinic phase and exhibit ferromagnetic ordering at room temperature.
